Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","0603",105.025000,-89.600000,0.000000,top
"C2","100nF","0603",105.040000,-92.370000,180.000000,top
"C5","10uF","0603",85.900000,-130.640000,90.000000,top
"C6","10uF","0603",192.550000,-74.800000,0.000000,top
"C7","10uF","0603",182.010000,-75.020000,180.000000,top
"C8","10uF","0603",192.390000,-68.770000,0.000000,top
"C9","10uF","0603",182.130000,-68.990000,0.000000,top
"C10","10uF","0603",108.465000,-92.395000,0.000000,top
"C11","100nF","0603",108.470000,-89.770000,0.000000,top
"C12","10uF","0603",118.840000,-107.870000,-90.000000,top
"C13","100nF","0603",114.365000,-107.855000,-90.000000,top
"C14","100nF","0603",83.135000,-130.655000,90.000000,top
"C15","10uF","0603",169.985000,-74.745000,0.000000,top
"C16","10uF","0603",160.605000,-75.735000,0.000000,top
"C17","10uF","0603",169.700000,-69.060000,0.000000,top
"C18","10uF","0603",159.550000,-68.900000,0.000000,top
"CON1","con_2pin","2pin_screw_vast",84.300000,-87.775000,90.000000,top
"CON2","16pinheader","16 pin",179.030000,-83.680000,0.000000,top
"CON3","16pinheader","16 pin",172.375000,-124.385000,0.000000,top
"CON4","16pinheader","16 pin",175.265000,-133.145000,180.000000,top
"D1","Diode","DO214",93.275000,-85.050000,180.000000,top
"FID1","Fiducial","Fiducial_1.5mm_Mask4.5mm",85.560000,-28.145000,0.000000,top
"FID2","Fiducial","Fiducial_1.5mm_Mask4.5mm",197.500000,-28.165000,180.000000,top
"FID3","Fiducial","Fiducial_1.5mm_Mask4.5mm",196.020000,-150.835000,0.000000,top
"SW1","button","button",200.890000,-130.640000,90.000000,top
"U1","Led_Pannel","2x8",173.025000,-34.450000,90.000000,top
"U2","recom_psu","recom psu",106.650000,-84.965000,0.000000,top
"U3","esp8266_mod1","esp8266mod",81.750000,-129.960000,90.000000,top
"U4","TXB0104","Texas_TXB0104PWR",196.880000,-71.980000,0.000000,top
"U5","TXB0104","Texas_TXB0104PWR",186.550000,-71.980000,0.000000,top
"U6","TXB0104","Texas_TXB0104PWR",174.390000,-71.951275,0.000000,top
"U7","TXB0104","Texas_TXB0104PWR",164.920000,-71.870000,0.000000,top
"mod1","picorpi","RPi_Pico_SMD_TH",179.675000,-103.210000,-90.000000,top
